Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
July,2023,ATF,Import,,,,"2024-02-21 04:02:12"
July,2023,HSD,Import,1.12,7.40,0.90,"2024-02-21 04:02:12"
July,2023,"LOBS/ Lube oil",Import,271.46,2124.32,258.58,"2024-02-21 04:02:12"
July,2023,"Fuel Oil",Import,681.43,2394.07,291.41,"2024-02-21 04:02:12"
July,2023,Bitumen,Import,231.43,754.97,91.90,"2024-02-21 04:02:12"
July,2023,Petcoke,Import,819.73,1122.60,136.65,"2024-02-21 04:02:12"
July,2023,Others&,Import,362.74,1600.39,194.82,"2024-02-21 04:02:12"
July,2023,"PRODUCT IMPORT*",Import,3769.73,12968.25,1578.87,"2024-02-21 04:02:12"
July,2023,"TOTAL IMPORT",Import,23281.43,98278.14,11940.23,"2024-02-21 04:02:12"
July,2023,LPG,Export,41.17,209.05,25.49,"2024-02-21 04:02:12"
July,2023,MS!,Export,1258.35,8531.72,1038.88,"2024-02-21 04:02:12"
July,2023,Naphtha$,Export,489.76,2277.23,277.23,"2024-02-21 04:02:12"
July,2023,ATF#,Export,782.28,5068.77,616.43,"2024-02-21 04:02:12"
July,2023,SKO,Export,1.02,6.77,0.82,"2024-02-21 04:02:12"
July,2023,HSD,Export,2384.38,14998.16,1827.82,"2024-02-21 04:02:12"
July,2023,LDO,Export,,,,"2024-02-21 04:02:12"
July,2023,"LOBS/ Lube Oil",Export,0.09,1.33,0.16,"2024-02-21 04:02:12"
July,2023,"Fuel Oil",Export,142.33,522.51,63.74,"2024-02-21 04:02:12"
July,2023,Bitumen,Export,3.20,12.37,1.50,"2024-02-21 04:02:12"
July,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
July,2023,Others%,Export,255.08,1746.08,212.69,"2024-02-21 04:02:12"
July,2023,"TOTAL  PRODUCT EXPORT",Export,5357.65,33373.99,4064.75,"2024-02-21 04:02:12"
July,2023,"NET IMPORT",Export,17923.79,64904.15,7875.48,"2024-02-21 04:02:12"
August,2023,"CRUDE OIL",Import,18708.40,90474.95,10936.13,"2024-02-21 04:02:12"
August,2023,LPG,Import,1569.17,6081.19,734.52,"2024-02-21 04:02:12"
August,2023,MS,Import,149.30,1216.83,147.18,"2024-02-21 04:02:12"
August,2023,Naphtha,Import,113.73,589.85,71.25,"2024-02-21 04:02:12"
August,2023,ATF,Import,0.00,0.03,0.00,"2024-02-21 04:02:12"
August,2023,HSD,Import,4.55,33.62,4.06,"2024-02-21 04:02:12"
August,2023,"LOBS/ Lube oil",Import,173.50,1188.83,143.61,"2024-02-21 04:02:12"
August,2023,"Fuel Oil",Import,766.30,2995.76,362.19,"2024-02-21 04:02:12"
August,2023,Bitumen,Import,231.57,939.23,113.38,"2024-02-21 04:02:12"
August,2023,Petcoke,Import,999.57,1378.99,166.57,"2024-02-21 04:02:12"
August,2023,Others&,Import,345.93,1676.69,202.51,"2024-02-21 04:02:12"
August,2023,"PRODUCT IMPORT*",Import,4353.62,16101.01,1945.29,"2024-02-21 04:02:12"
August,2023,"TOTAL IMPORT",Import,23062.02,106575.96,12881.42,"2024-02-21 04:02:12"
August,2023,LPG,Export,46.66,212.31,25.65,"2024-02-21 04:02:12"
August,2023,MS!,Export,1174.22,8977.02,1085.58,"2024-02-21 04:02:12"
August,2023,Naphtha$,Export,416.88,2130.79,257.95,"2024-02-21 04:02:12"
August,2023,ATF#,Export,900.49,6868.12,829.01,"2024-02-21 04:02:12"
August,2023,SKO,Export,0.52,3.75,0.45,"2024-02-21 04:02:12"
August,2023,HSD,Export,2614.94,19146.51,2310.74,"2024-02-21 04:02:12"
August,2023,LDO,Export,,,,"2024-02-21 04:02:12"
August,2023,"LOBS/ Lube Oil",Export,0.94,14.37,1.74,"2024-02-21 04:02:12"
August,2023,"Fuel Oil",Export,247.16,1081.93,131.38,"2024-02-21 04:02:12"
August,2023,Bitumen,Export,1.69,7.01,0.84,"2024-02-21 04:02:12"
August,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
August,2023,Others%,Export,422.61,2349.00,283.52,"2024-02-21 04:02:12"
August,2023,"TOTAL  PRODUCT EXPORT",Export,5826.10,40790.81,4926.85,"2024-02-21 04:02:12"
August,2023,"NET IMPORT",Export,17235.92,65785.15,7954.56,"2024-02-21 04:02:12"
September,2023,"CRUDE OIL",Import,17503.26,90513.67,10894.40,"2024-02-21 04:02:12"
September,2023,LPG,Import,1615.04,7365.98,895.67,"2024-02-21 04:02:12"
September,2023,MS,Import,151.15,1256.83,151.26,"2024-02-21 04:02:12"
September,2023,Naphtha,Import,154.03,893.08,107.68,"2024-02-21 04:02:12"
September,2023,ATF,Import,,,,"2024-02-21 04:02:12"
September,2023,HSD,Import,5.40,40.90,4.92,"2024-02-21 04:02:12"
September,2023,"LOBS/ Lube oil",Import,197.00,1504.91,181.45,"2024-02-21 04:02:12"
September,2023,"Fuel Oil",Import,824.76,3505.12,422.23,"2024-02-21 04:02:12"
September,2023,Bitumen,Import,220.51,736.09,88.64,"2024-02-21 04:02:12"
September,2023,Petcoke,Import,776.02,946.70,114.00,"2024-02-21 04:02:12"
September,2023,Others&,Import,113.32,704.50,84.83,"2024-02-21 04:02:12"
September,2023,"PRODUCT IMPORT*",Import,4057.21,16954.11,2050.68,"2024-02-21 04:02:12"
September,2023,"TOTAL IMPORT",Import,21560.47,107467.78,12945.08,"2024-02-21 04:02:12"
September,2023,LPG,Export,39.66,211.24,25.98,"2024-02-21 04:02:12"
September,2023,MS!,Export,992.75,7732.84,933.50,"2024-02-21 04:02:12"
September,2023,Naphtha$,Export,289.81,1602.25,194.59,"2024-02-21 04:02:12"
September,2023,ATF#,Export,489.89,4034.97,486.58,"2024-02-21 04:02:12"
September,2023,SKO,Export,0.54,4.51,0.55,"2024-02-21 04:02:12"
September,2023,HSD,Export,2323.96,18226.41,2203.17,"2024-02-21 04:02:12"
September,2023,LDO,Export,,,,"2024-02-21 04:02:12"
September,2023,"LOBS/ Lube Oil",Export,1.13,16.82,2.04,"2024-02-21 04:02:12"
September,2023,"Fuel Oil",Export,220.46,900.58,109.19,"2024-02-21 04:02:12"
September,2023,Bitumen,Export,0.20,1.20,0.15,"2024-02-21 04:02:12"
September,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
September,2023,Others%,Export,449.85,2531.62,306.08,"2024-02-21 04:02:12"
September,2023,"TOTAL  PRODUCT EXPORT",Export,4808.25,35262.45,4261.84,"2024-02-21 04:02:12"
September,2023,"NET IMPORT",Export,16752.22,72205.32,8683.24,"2024-02-21 04:02:12"
April,2022,"CRUDE OIL",Import,21626.17,128800.06,16814.64,"2024-02-21 04:02:12"
April,2022,LPG,Import,1594.07,11742.67,1536.01,"2024-02-21 04:02:12"
April,2022,MS,Import,,,,"2024-02-21 04:02:12"
April,2022,Naphtha,Import,35.36,241.16,31.82,"2024-02-21 04:02:12"
April,2022,ATF,Import,,,,"2024-02-21 04:02:12"
April,2022,HSD,Import,2.56,22.40,2.94,"2024-02-21 04:02:12"
April,2022,"LOBS/ Lube oil",Import,229.81,1591.07,208.87,"2024-02-21 04:02:12"
April,2022,"Fuel Oil",Import,995.86,5016.08,658.86,"2024-02-21 04:02:12"
April,2022,Bitumen,Import,258.43,1047.56,137.53,"2024-02-21 04:02:12"
April,2022,Petcoke,Import,891.89,1704.79,223.82,"2024-02-21 04:02:12"
April,2022,Others&,Import,157.35,1091.98,143.63,"2024-02-21 04:02:12"
April,2022,"PRODUCT IMPORT*",Import,4165.34,22457.71,2943.49,"2024-02-21 04:02:12"
April,2022,"TOTAL IMPORT",Import,25791.51,151257.78,19758.13,"2024-02-21 04:02:12"
April,2022,LPG,Export,47.34,396.92,52.06,"2024-02-21 04:02:12"
April,2022,MS!,Export,1403.23,12030.34,1579.29,"2024-02-21 04:02:12"
April,2022,Naphtha$,Export,610.66,4217.80,553.08,"2024-02-21 04:02:12"
April,2022,ATF#,Export,349.93,2889.12,379.06,"2024-02-21 04:02:12"
April,2022,SKO,Export,1.96,17.40,2.28,"2024-02-21 04:02:12"
April,2022,HSD,Export,2697.56,22851.56,2971.32,"2024-02-21 04:02:12"
April,2022,LDO,Export,0.09,0.79,0.10,"2024-02-21 04:02:12"
April,2022,"LOBS/ Lube Oil",Export,5.29,34.47,4.50,"2024-02-21 04:02:12"
April,2022,"Fuel Oil",Export,41.94,261.26,34.31,"2024-02-21 04:02:12"
April,2022,Bitumen,Export,0.02,0.12,0.02,"2024-02-21 04:02:12"
April,2022,"Petcoke / CBFS",Export,4.40,15.54,2.04,"2024-02-21 04:02:12"
